mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
47.387943506240845,7.245040218115431,0.005165910720825196,0.002308704161344458,relu,0.0001,"(20, 50, 50)","{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (20, 50, 50)}",-385120.48400438717,-344289.67753160023,-417614.95743563666,-346086.8489997057,-1369861.6999411033,-390662.8117639919,-421615.0589996816,-367890.53262507485,-356220.513248938,-368859.5162324083,-476822.2100782528,298768.9637405286,22
29.682240390777586,3.0944934396762793,0.0017439603805541992,0.001154849018492343,relu,100,"(10, 50)","{'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (10, 50)}",-456415.6942032647,-357601.7777922401,-435068.5853475344,-348887.12841684866,-827459.8355895018,-789147.1602103336,-471680.8316342727,-341521.7974199427,-384416.5297031913,-369460.4248162926,-478165.9765133423,170767.16535018172,23
29.37588725090027,0.17592668239952955,0.001300477981567383,0.0004250789605942126,relu,0.001,"(10, 50)","{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (10, 50)}",-419341.9566511201,-361123.289639619,-459083.92650598125,-372406.65272812813,-893573.8690719702,-635978.673606404,-492407.27509103715,-346648.3550020147,-381391.6014750002,-429965.91107013955,-479192.15108414134,159798.208566497,24
29.33895649909973,1.8470064833656692,0.0012424230575561524,0.000357617862084585,relu,0.1,"(10, 50)","{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (10, 50)}",-438609.27779140096,-373980.3050787354,-450656.0144058883,-376078.90001048025,-906280.0565326307,-632728.514155982,-484975.5621211946,-361277.98032524186,-383052.8892106064,-387427.71406990517,-479506.7213702065,161783.90806635466,25
38.062011098861696,5.919880319357167,0.0022066593170166015,0.0007488143850176867,relu,0.1,"(50, 20, 20)","{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (50, 20, 20)}",-423357.99681484204,-336414.14118699695,-401274.86240513617,-340225.8219268148,-1585708.7842743082,-335034.9026726178,-369942.3040378785,-322018.3012692932,-358682.30805608816,-348515.62883914344,-482117.50514831196,369079.7577919614,26
33.430170917510985,2.7466076914919326,0.0017180442810058594,0.000909437392830893,relu,10,"(20, 50)","{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (20, 50)}",-382413.52053371264,-387334.28610557475,-437013.4738622606,-354332.4232710787,-1436496.9656367416,-388005.791382276,-464895.1609543808,-338811.2250243638,-357157.8435464377,-363137.47886770585,-490959.8169184533,317302.3654479123,27
29.238600969314575,2.9776631446116935,0.0012557029724121094,1.1202527680132617e-05,relu,100,"(50, 10)","{'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (50, 10)}",-440357.93696090265,-422438.18371728365,-487902.2094927474,-380111.2502478972,-805459.0443430927,-527280.3109523444,-539721.9960532396,-409188.3430743076,-462862.8638527862,-467938.5606093409,-494326.0699303942,114040.29330647935,28
36.111994886398314,7.686927885174278,0.003413534164428711,0.0031825237462177434,relu,100,"(50, 20, 20)","{'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (50, 20, 20)}",-457191.4685529041,-365121.4464742778,-406913.26407639246,-329894.83501880936,-1339083.2429897143,-617210.125444041,-398499.80237804673,-331217.01796939754,-348418.22833413596,-352324.5638775527,-494587.39951152727,293036.9763241592,29
33.84849886894226,3.501872299672871,0.0016875982284545899,0.0007649766801765102,relu,100,"(20, 50)","{'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (20, 50)}",-374134.1569791786,-335979.2853329077,-455039.74556020927,-359544.36674431036,-1583017.389255078,-383945.1235293467,-431712.52956661466,-341635.75612729747,-376121.8029992856,-373437.49444834335,-501456.76505425724,362211.9104430842,30
48.14391827583313,9.276759430144944,0.0031123638153076174,0.00021695188880874197,relu,0.1,"(20, 50, 50)","{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (20, 50, 50)}",-386446.3723576,-389297.95926962513,-417739.3606947961,-346729.24595114007,-1679553.4827252843,-394697.0893110015,-429205.75001187506,-343212.34382022655,-357656.1771007527,-369772.44143349846,-511431.0222675799,390301.3860846284,31
